Title,url,item_price,item_cat,prod_url
"LYCKSELE HÅVET-chair-bed, Ransta natural-79386966",https://www.ikea.com.hk/dairyfarm/hk/images/496/0949692_PE799951_S4.webp,1899.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-havet-spr-79386966
"KIVIK-1-seat sofa-bed, Tresund light beige-89470238",https://www.ikea.com.hk/dairyfarm/hk/images/308/1130885_PE877959_S4.webp,4299.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/kivik-spr-89470238
"GRÖNLID-2-seat sofa-bed, Inseros white-49536533",https://www.ikea.com.hk/dairyfarm/hk/images/218/0621855_PE690113_S4.webp,7199.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/gronlid-spr-49536533
"LYCKSELE MURBO-chair-bed, Knisa light grey-89386980",https://www.ikea.com.hk/dairyfarm/hk/images/496/0949689_PE799948_S4.webp,1799.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-murbo-spr-89386980
"LYCKSELE LÖVÅS-2-seat sofa-bed, Tutstad multicolour-79387145",https://www.ikea.com.hk/dairyfarm/hk/images/497/0949717_PE799967_S4.webp,2099.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-lovas-spr-79387145
"GRÖNLID-3-seat sofa-bed with chaise longue, Sporda dark grey-79536678",https://www.ikea.com.hk/dairyfarm/hk/images/220/0622075_PE690282_S4.webp,11099.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/gronlid-spr-79536678
"LYCKSELE MURBO-2-seat sofa-bed, Ransta natural-69387018",https://www.ikea.com.hk/dairyfarm/hk/images/497/0949712_PE799986_S4.webp,2399.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-murbo-spr-69387018
"VRETSTORP-3-seat sofa-bed, Hakebo grey-green-79491255",https://www.ikea.com.hk/dairyfarm/hk/images/553/1155350_PE886577_S4.webp,5299.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/vretstorp-spr-79491255
"LYCKSELE HÅVET-2-seat sofa-bed, Vansbro dark grey-9387139",https://www.ikea.com.hk/dairyfarm/hk/images/497/0949727_PE799964_S4.webp,2999.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-havet-spr-09387139
"LYCKSELE HÅVET-chair-bed, Vansbro dark grey-99386989",https://www.ikea.com.hk/dairyfarm/hk/images/497/0949701_PE799960_S4.webp,2199.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-havet-spr-99386989
"LYCKSELE LÖVÅS-chair-bed, Vansbro dark grey-69386995",https://www.ikea.com.hk/dairyfarm/hk/images/497/0949701_PE799960_S4.webp,1799.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-lovas-spr-69386995
"NYHAMN-3-seat sofa-bed, with foam mattress/Naggen beige-49499984",https://www.ikea.com.hk/dairyfarm/hk/images/552/1155297_PE886539_S4.webp,2699.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/nyhamn-spr-49499984
